qasrl_id,tokens,sentence
Wiki1k:wikinews:1007169:0:0,"Barra , 51 , will be the first woman to lead a firm in the American auto industry .","Barra, 51, will be the first woman to lead a firm in the American auto industry."
Wiki1k:wikinews:1007169:1:0,"She said in a statement : `` With an amazing portfolio of cars and trucks and the strongest financial performance in our recent history , this is an exciting time at today 's GM .","She said in a statement: """"With an amazing portfolio of cars and trucks and the strongest financial performance in our recent history, this is an exciting time at today""s GM."
Wiki1k:wikinews:1007169:1:1,I 'm honored to lead the best team in the business and to keep our momentum at full speed . '',"I""m honored to lead the best team in the business and to keep our momentum at full speed."""""
Wiki1k:wikinews:1007169:3:1,The company also announced head of finance Daniel Ammann as its new president .,The company also announced head of finance Daniel Ammann as its new president.
Wiki1k:wikinews:1007169:4:2,It currently produces fifteen brands of vehicle in 37 countries .,It currently produces fifteen brands of vehicle in 37 countries.
Wiki1k:wikinews:1039242:0:0,Issawi returned Monday to his home in the Issawiyeh neighborhood in East Jerusalem after his release from the Shatta prison in northern Israel .,Issawi returned Monday to his home in the Issawiyeh neighborhood in East Jerusalem after his release from the Shatta prison in northern Israel.
Wiki1k:wikinews:1039242:0:1,"Hundreds of people came to welcome him home and celebrate his release , despite an Israeli order given to his family not to have a public party for his arrival .","Hundreds of people came to welcome him home and celebrate his release, despite an Israeli order given to his family not to have a public party for his arrival."
Wiki1k:wikinews:1039242:1:0,"Issawi was arrested in 2002 in Ramallah , during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs .","Issawi was arrested in 2002 in Ramallah, during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs."
Wiki1k:wikinews:1039242:1:1,He was sentenced to more than 25 years in prison .,He was sentenced to more than 25 years in prison.
Wiki1k:wikinews:1039242:3:0,"As a protest against the punishment , Issawi began a publicized hunger strike .","As a protest against the punishment, Issawi began a publicized hunger strike."
Wiki1k:wikinews:1039242:3:1,"For more than 260 days he was fed water , vitamins , and additional materials only by infusion .","For more than 260 days he was fed water, vitamins, and additional materials only by infusion."
Wiki1k:wikinews:1039242:3:2,"Consequentially , his medical condition deteriorated and became critical .","Consequentially, his medical condition deteriorated and became critical."
Wiki1k:wikinews:1039242:3:3,"According to the Los Angeles Times , Israel decided to start a negotiation lest Issawi 's death in the Israeli prison cause violence from the Palestinians in the West Bank .","According to the Los Angeles Times, Israel decided to start a negotiation lest Issawi""s death in the Israeli prison cause violence from the Palestinians in the West Bank."
Wiki1k:wikinews:1134211:0:0,Scotland 's Police Investigations and Review Commissioner -LRB- PIRC -RRB- has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel .,"Scotland""s Police Investigations and Review Commissioner (PIRC) has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel."
Wiki1k:wikinews:1134211:0:1,A subsequent crash wounded four .,A subsequent crash wounded four.
