sentence_id,predicate_idx,predicate,sentence
Wiki1k:wikinews:1007169:0:0,10,lead,"Barra, 51, will be the first woman to lead a firm in the American auto industry."
Wiki1k:wikinews:1007169:1:0,1,said,"She said in a statement: """"With an amazing portfolio of cars and trucks and the strongest financial performance in our recent history, this is an exciting time at today""s GM."
Wiki1k:wikinews:1007169:1:1,2,honored,"I""m honored to lead the best team in the business and to keep our momentum at full speed."""""
Wiki1k:wikinews:1007169:1:1,4,lead,"I""m honored to lead the best team in the business and to keep our momentum at full speed."""""
Wiki1k:wikinews:1007169:1:1,13,keep,"I""m honored to lead the best team in the business and to keep our momentum at full speed."""""
Wiki1k:wikinews:1007169:3:1,3,announced,The company also announced head of finance Daniel Ammann as its new president.
Wiki1k:wikinews:1007169:4:2,2,produces,It currently produces fifteen brands of vehicle in 37 countries.
Wiki1k:wikinews:1039242:0:0,1,returned,Issawi returned Monday to his home in the Issawiyeh neighborhood in East Jerusalem after his release from the Shatta prison in northern Israel.
Wiki1k:wikinews:1039242:0:1,3,came,"Hundreds of people came to welcome him home and celebrate his release, despite an Israeli order given to his family not to have a public party for his arrival."
Wiki1k:wikinews:1039242:0:1,5,welcome,"Hundreds of people came to welcome him home and celebrate his release, despite an Israeli order given to his family not to have a public party for his arrival."
Wiki1k:wikinews:1039242:0:1,9,celebrate,"Hundreds of people came to welcome him home and celebrate his release, despite an Israeli order given to his family not to have a public party for his arrival."
Wiki1k:wikinews:1039242:0:1,17,given,"Hundreds of people came to welcome him home and celebrate his release, despite an Israeli order given to his family not to have a public party for his arrival."
Wiki1k:wikinews:1039242:1:0,2,arrested,"Issawi was arrested in 2002 in Ramallah, during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs."
Wiki1k:wikinews:1039242:1:0,24,charged,"Issawi was arrested in 2002 in Ramallah, during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs."
