qasrl_id,tokens,sentence
Wiki1k:wikinews:1007169:0:0,"Barra , 51 , will be the first woman to lead a firm in the American auto industry .","Barra, 51, will be the first woman to lead a firm in the American auto industry."
Wiki1k:wikinews:1007169:1:0,"She said in a statement : `` '' With an amazing portfolio of cars and trucks and the strongest financial performance in our recent history , this is an exciting time at today '' s GM .","She said in a statement: """"With an amazing portfolio of cars and trucks and the strongest financial performance in our recent history, this is an exciting time at today""s GM."
Wiki1k:wikinews:1007169:1:1,I '' m honored to lead the best team in the business and to keep our momentum at full speed . '' '',"I""m honored to lead the best team in the business and to keep our momentum at full speed."""""
Wiki1k:wikinews:1007169:2:0,"She replaces Daniel Akerson , who was appointed by the government as both chief executive and chairman in 2009 during the company '' s bankruptcy .","She replaces Daniel Akerson, who was appointed by the government as both chief executive and chairman in 2009 during the company""s bankruptcy."
Wiki1k:wikinews:1007169:2:1,Akerson plans to stand down on January 15 following his wife '' s advanced cancer diagnosis .,"Akerson plans to stand down on January 15 following his wife""s advanced cancer diagnosis."
Wiki1k:wikinews:1007169:3:0,"Akerson will also relinquish his chairman role , to be replaced by current director Theodore Solso .","Akerson will also relinquish his chairman role, to be replaced by current director Theodore Solso."
Wiki1k:wikinews:1007169:3:1,The company also announced head of finance Daniel Ammann as its new president .,The company also announced head of finance Daniel Ammann as its new president.
Wiki1k:wikinews:1007169:4:0,"General Motors recovered from their bankruptcy a year after the appointment of Akerson , and re-entered the stock market in November 2010 .","General Motors recovered from their bankruptcy a year after the appointment of Akerson, and re-entered the stock market in November 2010."
Wiki1k:wikinews:1007169:4:1,"It remains the largest car manufacturer in the United States , posting sales figures of $ 152 billion in 2012 .","It remains the largest car manufacturer in the United States, posting sales figures of $152 billion in 2012."
Wiki1k:wikinews:1007169:4:2,It currently produces fifteen brands of vehicle in 37 countries .,It currently produces fifteen brands of vehicle in 37 countries.
Wiki1k:wikinews:1039242:0:0,Issawi returned Monday to his home in the Issawiyeh neighborhood in East Jerusalem after his release from the Shatta prison in northern Israel .,Issawi returned Monday to his home in the Issawiyeh neighborhood in East Jerusalem after his release from the Shatta prison in northern Israel.
Wiki1k:wikinews:1039242:0:1,"Hundreds of people came to welcome him home and celebrate his release , despite an Israeli order given to his family not to have a public party for his arrival .","Hundreds of people came to welcome him home and celebrate his release, despite an Israeli order given to his family not to have a public party for his arrival."
Wiki1k:wikinews:1039242:1:0,"Issawi was arrested in 2002 in Ramallah , during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs .","Issawi was arrested in 2002 in Ramallah, during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs."
Wiki1k:wikinews:1039242:3:0,"As a protest against the punishment , Issawi began a publicized hunger strike .","As a protest against the punishment, Issawi began a publicized hunger strike."
Wiki1k:wikinews:1039242:3:1,"For more than 260 days he was fed water , vitamins , and additional materials only by infusion .","For more than 260 days he was fed water, vitamins, and additional materials only by infusion."
