qasrl_id,verb_idx,verb,question,answer_range,answer,wh,subj,obj,obj2,aux,prep,verb_prefix,is_passive,is_negated
Wiki1k:wikinews:1007169:0:0,10,lead,what will someone lead?,9:11,a firm,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:0:0,10,lead,when will someone lead something?,11:16,in the American auto industry,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:0:0,10,lead,who will lead something?,0:1~!~1:2~!~4:7,Barra~!~51~!~the first woman,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:0,1,said,what did someone say?,5:31,"With an amazing portfolio of cars and trucks and the strongest financial performance in our recent history, this is an exciting time at today""s GM",_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:0,1,said,where did someone say something?,2:5,in a statement,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:0,1,said,who said something?,0:1,She,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,2,honored,what is someone honored to do?,12:19~!~3:11,to keep our momentum at full speed~!~to lead the best team in the business,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,2,honored,who is honored?,0:1,I,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,4,lead,what is someone leading?,5:8,the best team,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,4,lead,where is someone leading something?,8:11,in the business,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,4,lead,who is leading something?,0:1,I,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,13,keep,how is someone keeping something?,16:19,at full speed,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,13,keep,what is someone keeping?,14:16,our momentum,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,13,keep,who is keeping something?,0:1,I,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:1:1,13,keep,why is someone keeping something?,3:11,to lead the best team in the business,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:3:1,3,announced,what did someone announce?,4:13,head of finance Daniel Ammann as its new president,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:3:1,3,announced,who announced something?,0:2,The company,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:4:2,2,produces,what does something produce?,3:7,fifteen brands of vehicle,_,_,_,_,_,_,_,False,False
Wiki1k:wikinews:1007169:4:2,2,produces,what produces something?,0:1,It,_,_,_,_,_,_,_,False,False
