qasrl_id,verb_idx,verb,question,answer_range,answer,wh,subj,obj,obj2,aux,prep,verb_prefix,is_passive,is_negated
Wiki1k:wikinews:675013:1:2,3,indicated,what indicated something?,0:3,The last reports,what,_,something,_,_,_,_,False,False
Wiki1k:wikinews:675013:1:2,3,indicated,what did something indicate?,4:10,both men were in stable condition,what,something,_,_,did,_,_,False,False
Wiki1k:wikipedia:32917:6:0,4,bought,what did someone buy?,4:10,stock in a Chicago jelly producer,what,someone,_,_,did,_,_,False,False
Wiki1k:wikipedia:32917:6:0,4,bought,who bought something?,2:3,Elias,who,_,something,_,_,_,_,False,False
Wiki1k:wikipedia:32917:6:0,4,bought,when did someone buy something?,0:2,In 1917,when,someone,something,_,did,_,_,False,False
Wiki1k:wikipedia:32917:6:0,17,moved,who moved somewhere?,2:3,Elias,who,_,_,somewhere,_,_,_,False,False
Wiki1k:wikipedia:32917:6:0,17,moved,when did someone move somewhere?,0:2,In 1917,when,someone,_,somewhere,did,_,_,False,False
Wiki1k:wikipedia:32917:6:0,17,moved,where did someone move?,16:20,back to the city,where,someone,_,_,did,_,_,False,False
Wiki1k:wikipedia:32917:6:0,17,moved,how did someone move somewhere?,20:23,with his family,how,someone,_,somewhere,did,_,_,False,False
Wiki1k:wikinews:1291628:3:1,7,said,what did someone say?,6:19,"that the government was """"trying to find courts that are favourable to them""""",what,someone,_,_,did,_,_,False,False
Wiki1k:wikinews:1291628:3:1,7,said,who said something?,0:5,"Auernheimer""s attorney, Tor Ekeland",who,_,something,_,_,_,_,False,False
Wiki1k:wikinews:1291628:3:1,13,trying,what was someone trying to do?,11:19,to find courts that are favourable to them,what,someone,_,do,was,to,_,False,False
Wiki1k:wikinews:1291628:3:1,13,trying,who was trying to do something?,7:9,the government,who,_,_,something,was,to do,_,False,False
Wiki1k:wikinews:1291628:3:1,15,find,what was someone finding?,13:19,courts that are favourable to them,what,someone,_,_,was,_,_,False,False
Wiki1k:wikinews:1291628:3:1,15,find,who was finding something?,7:9,the government,who,_,something,_,was,_,_,False,False
Wiki1k:wikinews:718707:6:2,3,get,what does someone get to do?,4:18,to change not only the political landscape of their country but of the world,what,someone,_,do,does,to,_,False,False
Wiki1k:wikinews:718707:6:2,3,get,who gets to do something?,0:3,Very few leaders,who,_,_,something,_,to do,_,False,False
Wiki1k:wikinews:718707:6:2,5,change,what does someone change?,6:18,not only the political landscape of their country but of the world,what,someone,_,_,does,_,_,False,False
Wiki1k:wikinews:718707:6:2,5,change,who changes something?,0:3,Very few leaders,who,_,something,_,_,_,_,False,False
Wiki1k:wikipedia:17547:49:3,3,accompanied,who is accompanied?,0:1,He,who,_,_,_,is,_,_,True,False
Wiki1k:wikipedia:17547:49:3,3,accompanied,who is someone accompanied by?,5:17,"his consort Rati and his companion Vasanta, lord of the spring season",who,someone,_,_,is,by,_,True,False
Wiki1k:wikinews:542011:46:6,2,gone,who had gone somewhere?,0:1,People,who,_,_,somewhere,had,_,_,False,False
Wiki1k:wikinews:542011:46:6,2,gone,where had someone gone?,3:4,out,where,someone,_,_,had,_,_,False,False
Wiki1k:wikinews:542011:46:6,5,spent,what did someone spend something on?,7:15,on tickets to come and see that sport,what,someone,something,_,did,on,_,False,False
Wiki1k:wikinews:542011:46:6,5,spent,who spent something on something?,0:1,People,who,_,something,something,_,on,_,False,False
Wiki1k:wikinews:542011:46:6,5,spent,what did someone spend on something?,6:7,money,what,someone,_,something,did,on,_,False,False
Wiki1k:wikinews:542011:46:6,10,come,who came?,0:1,People,who,_,_,_,_,_,_,False,False
Wiki1k:wikinews:542011:46:6,10,come,why did someone come?,999:1998,to see that sport,why,someone,_,_,did,_,_,False,False
Wiki1k:wikinews:542011:46:6,12,see,what did someone see?,13:15,that sport,what,someone,_,_,did,_,_,False,False
Wiki1k:wikinews:542011:46:6,12,see,who saw something?,0:1,People,who,_,something,_,_,_,_,False,False
Wiki1k:wikipedia:481604:15:3,3,contained,what is contained?,0:2,These legends,what,_,_,_,is,_,_,True,False
